12mars 2015;une partie de la communauté scientifique s’oppose à l’édition des cellules germinales dont le scientifique Edward Lanphier (chairman of the Alliance for Regenerative Medicine ) et  un pionier dans l’édition génomique et scientifique à Sangamo BioSciences, Fyodor Urnov. APPEL COMMUN POUR NE PAS TOUCHER AUX EMBRYONS HUMAINS, MEME POUR LA RECHERCHE !!;;;;;;;;;;;;;;;;;;;;;;;;
décembre 2015;DISCUSSION ETHIQUE SUR CRIPSR AVEC CONFERENCE A NAPA regroupant des scientifiques du monde entier ;;;;;;;;;;;;;;;;;;;;;;;;
janvier 2016;"Grande-Bretagne autorise la manipulation génétique sur des embryons humains à l'Institut Francis Crick situé à Londres
";;;;;;;;;;;;;;;;;;;;;;;;
avril 2016;"L'USDA a
indiqué que  le champignon modifié par la technologie
CRISPR-Cas9 ne sera pas soumis à la loi sur les produits issus de l’ingénierie génétique. ";;;;;;;;;;;;;;;;;;;;;;;;
juin 2016;"appel des cent prix Nobel sur la nécessité d’utiliser les
technologies pour traiter de la question de l’autosuffisance alimentaire de
2 milliards d’êtres humains supplémentaires en 2050.
";;;;;;;;;;;;;;;;;;;;;;;;
novembre 2016;"Mme Nicole Haeffner-Cavaillon, chercheure à l’INSERM, 2514 	docs ont été publiés sur CRISPR-CAS9 depuis 2011 donc 57 publi en France ";;;;;;;;;;;;;;;;;;;;;;;;
octobre 2016;"Autorisation de la USDA pour la mise en culture imminente du mais avec CRISPR par DuPont : autorisation de commercialisation 
d’un maïs ne produisant plus que de l’aminopectine, utilisées pour l’industrie du papier et
qui du fait de la technique utilisée ne contient plus d’ADN étranger";;;;;;;;;;;;;;;;;;;;;;;;
décembre 2016;La Chine, ( National Natural Science Foundation of China ) investit 23 million yuan ($3.5 million) pour 42 projets sur CRISPR;;;;;;;;;;;;;;;;;;;;;;;;
janvier 2017;Geneticist Xingxu Huang de ShanghaiTech University en Chine, cherche la permission des institutions d’éthiques  pour pouvoir essayer de modifier génétiquement des embryons humains inutilisés ;;;;;;;;;;;;;;;;;;;;;;;;
mai 2017;Premiers tests de lutte contre le SIDA effectués sur des souris ont été concluants.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
PRESSE;;;;;;;;;;;;;;;;;;;;;;;;;
1983;première apparition du séquençage adn et de la thérapie génique dans la presse, Le Monde s'interroge sur les possibles applications à l'Homme;;;;;;;;;;;;;;;;;;;;;;;;
1990;autorisation en France, par le comité national d'éthique, des thérapies géniques sur l'homme;;;;;;;;;;;;;;;;;;;;;;;;
;Le Monde très positif, pour eux, plus d'inquiétude d'ordre éthique à avoir;;;;;;;;;;;;;;;;;;;;;;;;
1996;le journal catholique La Croix traite pour la première fois de thérapie génique et s'interroge sur les éventuelles applications à l'Homme;;;;;;;;;;;;;;;;;;;;;;;;
2000;"entrée en jeu de l'organe de presse "Genethique", avec la controverse des enfants-bulles (Alain Fischer)""ntrée en jeu de l'organe de presse "Genethique", avec la controvers""trée en jeu de l'organe de pres";;;;;;;;;;;;;;;;;;;;;;;;
;"pour Le Monde, c'est un "premier et brillant succès" de la thérapie génique, pour la Croix un succès, pour Genethique un "succès isolé"""our Le Monde, c'est un "premier et brillant succès" de la thérapie génique, pour la Croix un succès, pour Gene""ur Le Monde, c'est un "premier et brillant succès" de la thérapie génique, pour la Cro""r Le Monde, c'est un "premier et brillant succès" de la thérapi"" Le Monde, c'est un "premier et brillant ""Le Monde, c'est un """";;;;;;;;;;;;;;;;;;;;;;;;
2014;premières apparitions de la technologie crispr-cas9 dans la presse grand public;;;;;;;;;;;;;;;;;;;;;;;;
;"Traitement médiatique de la découverte : _ Le Monde : "outil" "espoir" "révolution"""raitement médiatique de la d";;;;;;;;;;;;;;;;;;;;;;;;
;;;;"_ Genethique : "catastrophe éthique" "préoccupente découverte" "appel à un moratoire" "réglementation éthique""" Genethique : "catastrophe éthique" "préoccupente découverte" "appel à un moratoire" "réglemen""Genethique : "catastrophe éthique" "préoccupente découverte" "appel à un morato""enethique : "catastrophe éthique" "préoccupente découverte" "appe""nethique : "catastrophe éthique" "préoccupente décou""ethique : "catastrophe éthique" "préoccu""thique : "catastrophe éthique""hique : "catastroph""ique : "ca""qu";;;;;;;;;;;;;;;;;;;;;
;;;;_ Science et avenir : une révolution en terme de coût et d'efficacité;;;;;;;;;;;;;;;;;;;;;
avril 2015 : embryons modifiés en Chine;;;;;;;;;;;;;;;;;;;;;;;;;
;"_La Croix : "douteux succès", évoque les refus de publication dans Nature et Science""La Croix : "douteux succès", évoque les refus de publication dans Natur""a Croix : "douteux succès", évoque les refus de publication"" Croix : "douteux succès", évoque les refus de p""Croix : "douteux succès", évoque les r""roix : "douteux succès", évoq""oix : "douteux succès""ix : "douteux ""x : "dou"" : ";;;;;;;;;;;;;;;;;;;;;;;;
;_ Genethique : globalement contre, s'appuie sur des témoignages de scientifiques et d'organismes qui appellent à la prudence;;;;;;;;;;;;;;;;;;;;;;;;
;_ Le Monde : échec, division de la communauté scientifique, dangereux;;;;;;;;;;;;;;;;;;;;;;;;
;"MAIS si c'était plus efficace ça pourrait être un outil pour soigner les maladies héréditaire ou créer des "bébés parfaits" ==> nuancé""AIS si c'était plus effica";;;;;;;;;;;;;;;;;;;;;;;;
;_ Science et Avenir : l'objectif n'a jamais été de réimplanter ces embryons et une partie de la communauté scientifique est en faveur des tests sur les embryons;;;;;;;;;;;;;;;;;;;;;;;;
;mais pourrait ouvrir la boite de Pandore, modifier l'espèce humaine, etc...;;;;;;;;;;;;;;;;;;;;;;;;
;_La Recherche : la communauté scientifique est majoritairement contre, l'expérience est un échec;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
mars 2017 :;Le Monde relaie une pétition signée par 146 scientifiques accusant la fondation Jérome Lejeune (fondation catholique luttant contre la trisomie 21, possédant Genethique) d'entraver la recherche sur l'embryon;;;;;;;;;;;;;;;;;;;;;;;;
;reconsidérer la reconnaissance d'utilité publique;;;;;;;;;;;;;;;;;;;;;;;;
;Jean Marie Le Méné (président de la fondation) : « Nous poursuivons l’action du professeur Lejeune, qui défendait les patients et ne pouvait accepter une loi qui les élimine avant la naissance »;;;;;;;;;;;;;;;;;;;;;;;;
mai 2017 : vih éradiqué chez des souris;;;;;;;;;;;;;;;;;;;;;;;;;
;Genethique : minimise la découverte, sert à controler l'infection mais pas soigner le sida, possibilité de mutation du virus pour s'adapter;;;;;;;;;;;;;;;;;;;;;;;;
;pas traité pour l'instant dans les autres médias;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
aussi, Le Monde = Pierre Bergé = Sidaction (investit dans la thérapie génique pour soigner le sida);;;;;;;;;;;;;;;;;;;;;;;;;
;Pierre Bergé est aussi atteint de myopathie, maladie génétique;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
SOCIETE CIVILE;;;;;;;;;;;;;;;;;;;;;;;;;
fevrier 2016;"La CIA classe la technologie CRISPR cas9 dans la catégorie "armes de destruction massive et prolifération" dans un rapport qui évalue les menaces. ""a CIA classe la technologie CRISPR cas9 dans la catégorie "armes de destruction massive"" CIA classe la technologie C";;;;;;;;;;;;;;;;;;;;;;;;
20 mai 2016;sondage fait par l'ifop concernant la technologie crispr. 9% des français en ont entendu parler, 75% veulent interdire l'usage sur l'embryon humain dès qu'ils apprennent ce que peut faire la technologie.;;;;;;;;;;;;;;;;;;;;;;;;
24 mai 2016;"L'alliage VITA lance une campagne d'information: "Stop Bébé OGM", afin d'alerter la population. Elle publie alors une petition qui atteint 10 000 signatures en moins d'une semaine.""'alliage VITA lance une campagne d'information: "Stop Bébé OGM", afin d'alerter la population. Elle publie alors une petition qui ""alliage VITA lance une campagne d'information: "Stop Bébé OGM", afin d'alerter la""lliage VITA lance une campagne d'";;;;;;;;;;;;;;;;;;;;;;;;
20 mai 2017;Le collectif Lorient a organisé une marche en bretagne, pour sa troisieme edition contre les OGM, Monsanto. L'édition précédente avait rassemblé plus de 2500 personnes.;;;;;;;;;;;;;;;;;;;;;;;;
acteur;fondation Jérôme-Lejeune. Fondé en 1996 par Jean-Marie LeMéné, reconnu d'utilité publique. Elle soutient et finance une partie de la recherche de déficiance inellectuelle d'origine génétique telles que la trisomie 21. La Fondation Jérôme Lejeune reste vigilante aux questions de bioéthique dans l'avancé rapide des technologie.;;;;;;;;;;;;;;;;;;;;;;;;
acteur;STOP OGM : Alliance suisse pour une agriculture sans génie génétique, constitué en 1998. Elle travaile sur le développement et les impacts du génie génétique sur l'agriculture, l'élevage, l'environnement et la santé. Financé en partie par  la fondation Charles Léopold Mayer pour le progrès de l’homme, son but statutaire est de « financer, par l’octroi de dons ou de prêts des recherches et actions qui concourent, de manière significative et innovante, au progrès des hommes par la science et le développement social ».;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
POLITIQUE ET DROIT;;;;;;;;;;;;;;;;;;;;;;;;;
29 juillet 1994;Loi n°94-653 : Sans préjudice des recherches tendant à la prévention et au traitement des maladies génétiques, aucune transformation ne peut être apportée aux caractères génétiques dans le but de modifier la descendance de la personne. ;;;;;;;;;;;;;;;;;;;;;;;;
4 avril 1997;convention sur les droits de l'homme et la biomédecine, signée à Oviedo. Article 13 : Une intervention ayant pour objet de modifier le génome humain ne peut être entreprise que pour des raisons préventives, diagnostiques ou thérapeutiques et seulement si elle n'a pas pour but d'introduire une modification dans le génome de la descendance.;;;;;;;;;;;;;;;;;;;;;;;;
6 août 2004;loi n° 2004-800 : interdit sauf dérogation la recherche sur l’embryon et les cellules embryonnaires. Par dérogation, les recherches peuvent être autorisées, pour une période limitée à cinq ans si « elles sont susceptibles de permettre des progrès thérapeutiques majeurs »;;;;;;;;;;;;;;;;;;;;;;;;
7 juillet 2011;LOI n° 2011-814 : autorise la ratification de la convention du Conseil de l'Europe pour la protection des droits de l'homme et de la dignité de l'être humain à l'égard des applications de la biologie et de la médecine : convention sur les droits de l'homme et la biomédecine, signée à Oviedo le 4 avril 1997.;;;;;;;;;;;;;;;;;;;;;;;;
6 août 2013;la loi n° 2013-715 tendant à modifier la loi du 7 juillet 2011 relative à la bioéthique a autorisé sous certaines conditions la recherche sur l'embryon et les cellules souches embryonnaires.;;;;;;;;;;;;;;;;;;;;;;;;
11 février 2015;L’Office parlementaire d’évaluation des choix scientifiques et technologies (OPECST) a été saisi, à titre principal, par M. Jean-Paul Chanteguet, président de la commission du développement durable de l’Assemblée nationale, d’une « demande portant sur les enjeux économiques et environnementaux des biotechnologies »;;;;;;;;;;;;;;;;;;;;;;;;
juin 2015;Le PDG de l’Institut national de la santé et de la recherche médicale (INSERM), M. Yves Lévy à saisi son comité d’éthique sur ces questions.;;;;;;;;;;;;;;;;;;;;;;;;
février 2016;"Le comité éthique INSERM à publié une note initiale avec 5 recommendations : encourage la recherche ; appelle au respect des règles de confinement et à la création de mesures de réversibilité ; rappelle l’interdiction de toute modification du génome nucléaire germinal à visée reproductive dans l’espèce humaine ; propose de participer à toute initiative nationale ou internationale sans restriction de nationalité ; attire l’attention sur les questions éthiques et philosophiques.";;;;;;;;;;;;;;;;;;;;;;;;
avril 2016;"L’Académie de médecine a adopté un rapport sur « Les modifications du génome des cellules germinales et de l’embryon humains ». Elle a formulé quatre recommandations : Maintien de la législation actuelle interdisant toute intervention sur la structure de l’ADN ayant pour conséquence de modifier le génome de la descendance. 
	Développement de la recherche utilisant les technologies permettant la modification ciblée du génome, y compris sur les cellules germinales et l’embryon humain.
	Adaptation des textes nécessaires au développement de ces recherches en France et en Europe, concernant en particulier l’interdiction de créer des embryons transgéniques, étant entendu que les embryons ainsi modifies ne donneront pas lieu à un transfert dans l’utérus en l’état actuel des connaissances et de la législation.
	Ouverture d’une réflexion pluridisciplinaire sur les questions posées par les techniques pouvant modifier de manière ciblée le génome germinal et embryonnaire, ce sujet devant être traite dans le cadre d’un débat plus large portant sur l’ensemble des technologies et interventions médicales réalisées lors de de l’assistance médicale à la procréation et pouvant avoir des conséquences sur le génome des enfants à naitre et éventuellement sur celui des générations suivantes.";;;;;;;;;;;;;;;;;;;;;;;;
avril 2016;L'assemblée nationale a organisé une audition publique, ouverte à la presse, sur le thème : « Les enjeux des nouvelles biotechnologies : la modification ciblée du génome avec CRISPR-CAS9 » dans le cadre du rapport pour l'OPECST.;;;;;;;;;;;;;;;;;;;;;;;;
novembre 2016;Le comité éthique INSERM à une nouvelle prise de position : rester opposé à toute demande de modification des règles de l’article 13 de la convention d’Oviedo (3), mais d’adapter l’interdiction de toute application clinique comportant des modifications génétiques sur la lignée germinale, au cas par cas pour un nombre réduit de maladies génétiques et mettre en place un comité de pilotage européen.;;;;;;;;;;;;;;;;;;;;;;;;
